customer_id,gender,tenure,monthly_charges,contract_type,internet_service,churn
1,Male,50,650.01,Month-to-month,Fiber,No
2,Female,46,846.87,Two year,Fiber,No
3,Male,3,1091.33,One year,Fiber,Yes
4,Male,6,1903.43,Two year,None,No
5,Male,34,1883.94,Month-to-month,None,Yes
6,Female,47,651.68,Two year,None,Yes
7,Male,72,908.97,Month-to-month,DSL,Yes
8,Male,71,553.98,Month-to-month,None,Yes
9,Male,44,1166.97,Month-to-month,DSL,No
10,Female,71,1082.99,One year,DSL,Yes
11,Male,18,1831.29,One year,DSL,Yes
12,Male,62,1881.01,One year,None,No
13,Male,37,952.06,Two year,DSL,No
14,Male,66,1135.95,Month-to-month,None,Yes
15,Female,58,1823.6,Two year,None,No
16,Male,68,1671.4,Two year,DSL,Yes
17,Female,12,306.22,Month-to-month,DSL,No
18,Female,46,844.1,Two year,DSL,No
19,Female,60,1017.02,Month-to-month,None,No
20,Male,30,690.52,Month-to-month,None,No
21,Female,21,639.27,Month-to-month,DSL,No
22,Male,42,364.23,Month-to-month,DSL,No
23,Female,66,1393.73,Two year,Fiber,No
24,Female,53,746.27,Two year,DSL,Yes
25,Female,9,388.99,Two year,Fiber,No
26,Female,41,692.66,One year,Fiber,Yes
27,Female,63,1663.25,Two year,None,No
28,Female,20,1747.53,Two year,None,No
29,Female,65,1121.21,One year,Fiber,No
30,Female,40,1007.32,Month-to-month,Fiber,No
31,Male,23,1962.35,Month-to-month,DSL,No
32,Male,34,640.96,Month-to-month,Fiber,No
33,Female,55,666.11,One year,DSL,No
34,Female,29,796.17,Two year,None,No
35,Female,56,593.69,Two year,DSL,No
36,Male,46,944.92,Two year,None,Yes
37,Female,34,1848.42,Two year,Fiber,No
38,Male,18,1346.09,One year,Fiber,Yes
39,Male,7,1000.31,Two year,Fiber,No
40,Male,25,1888.5,Month-to-month,DSL,No
41,Male,70,382.39,One year,None,No
42,Male,29,657.47,One year,None,No
43,Female,6,1262.01,Month-to-month,None,Yes
44,Female,66,1346.44,Month-to-month,None,No
45,Female,64,367.25,Two year,None,No
46,Female,35,985.17,Month-to-month,DSL,No
47,Female,24,1403.56,One year,None,No
48,Male,36,1486.72,One year,Fiber,Yes
49,Female,0,1384.84,One year,None,No
50,Female,14,844.96,Two year,Fiber,No
51,Male,36,458.98,Two year,DSL,No
52,Female,12,1026.09,Month-to-month,DSL,No
53,Male,7,518.88,Two year,Fiber,No
54,Female,4,1910.96,Two year,None,No
55,Male,59,1107.79,One year,DSL,No
56,Female,72,839.34,One year,DSL,Yes
57,Female,0,1602.72,Month-to-month,DSL,No
58,Male,35,1146.51,One year,None,No
59,Male,34,827.06,Two year,Fiber,No
60,Male,65,1680.35,Month-to-month,Fiber,No
61,Male,62,1774.16,Month-to-month,None,Yes
62,Male,22,1444.11,One year,DSL,No
63,Male,8,379.84,One year,None,Yes
64,Male,33,1262.75,One year,None,No
65,Male,45,1597.6,Month-to-month,Fiber,No
66,Female,3,532.06,One year,None,No
67,Female,29,688.74,Two year,None,No
68,Male,71,1800.24,Month-to-month,DSL,No
69,Female,2,334.21,One year,DSL,No
70,Female,13,1579.64,Two year,Fiber,No
71,Female,59,1105.41,Two year,DSL,Yes
72,Female,44,1059.51,One year,None,Yes
73,Male,33,312.06,Two year,None,No
74,Female,44,1692.98,Month-to-month,None,No
75,Male,60,911.7,Month-to-month,Fiber,No
76,Female,15,1219.3,Two year,DSL,Yes
77,Female,65,1451.41,Month-to-month,None,No
78,Female,39,1494.47,One year,DSL,No
79,Male,16,1925.17,Two year,DSL,No
80,Female,33,1203.28,Month-to-month,DSL,No
81,Male,15,979.52,One year,DSL,Yes
82,Female,59,1921.3,One year,Fiber,Yes
83,Male,65,1391.59,Month-to-month,Fiber,No
84,Female,65,806.86,Two year,Fiber,No
85,Male,12,514.99,One year,None,No
86,Male,55,1732.34,One year,None,No
87,Female,30,915.71,One year,None,No
88,Male,33,1422.8,One year,Fiber,No
89,Female,38,1100.39,Two year,DSL,Yes
90,Female,66,638.18,Month-to-month,Fiber,Yes
91,Female,7,1322.87,Month-to-month,None,No
92,Female,54,403.16,Month-to-month,None,No
93,Female,26,1002.68,One year,DSL,No
94,Female,52,1229.25,Two year,Fiber,Yes
95,Female,38,1041.28,Month-to-month,DSL,Yes
96,Female,64,1572.74,Two year,Fiber,No
97,Female,16,1707.47,Month-to-month,None,Yes
98,Female,29,1611.11,One year,DSL,Yes
99,Female,52,365.98,Month-to-month,DSL,No
100,Male,12,630.02,One year,Fiber,No
101,Male,20,1212.23,One year,Fiber,No
102,Female,18,1889.2,Month-to-month,Fiber,No
103,Female,52,1719.43,Two year,None,No
104,Female,18,1732.31,One year,Fiber,No
105,Female,56,815.45,Two year,None,No
106,Female,24,1030.06,Month-to-month,Fiber,Yes
107,Female,30,1100.2,One year,Fiber,No
108,Female,54,567.53,Two year,None,No
109,Female,22,352.82,One year,Fiber,No
110,Male,31,1909.73,Month-to-month,None,No
111,Female,61,709.21,One year,None,No
112,Male,9,707.91,Month-to-month,Fiber,No
113,Female,71,441.74,Two year,Fiber,No
114,Female,53,1878.46,One year,DSL,Yes
115,Male,51,1285.55,Two year,Fiber,Yes
116,Female,19,1433.96,Month-to-month,DSL,Yes
117,Male,31,1849.68,Month-to-month,Fiber,No
118,Female,13,887.55,Two year,None,No
119,Female,49,1356.56,Two year,None,No
120,Male,27,365.96,Month-to-month,DSL,Yes
121,Female,52,617.51,Two year,Fiber,No
122,Male,23,1713.12,Month-to-month,DSL,Yes
123,Female,21,1603.51,Two year,Fiber,No
124,Male,29,896.09,Month-to-month,Fiber,Yes
125,Male,62,940.58,Month-to-month,None,Yes
126,Female,3,1207.04,One year,DSL,No
127,Female,58,300.41,Month-to-month,None,Yes
128,Male,7,710.12,Month-to-month,None,No
129,Female,11,653.99,One year,None,Yes
130,Female,30,725.82,One year,DSL,Yes
131,Female,33,1670.04,Two year,Fiber,Yes
132,Male,48,775.45,Two year,Fiber,No
133,Male,56,625.59,Month-to-month,DSL,No
134,Male,25,1157.25,Two year,Fiber,Yes
135,Male,17,1771.6,Two year,DSL,Yes
136,Male,37,710.29,Month-to-month,DSL,No
137,Male,49,433.51,One year,Fiber,No
138,Male,7,905.89,One year,None,No
139,Male,40,1571.01,Month-to-month,DSL,Yes
140,Male,5,1236.17,Month-to-month,DSL,Yes
141,Female,68,1688.55,Month-to-month,DSL,No
142,Male,43,1931.31,Month-to-month,DSL,No
143,Female,63,1647.53,Month-to-month,Fiber,No
144,Female,28,1326.47,Month-to-month,Fiber,No
145,Female,27,1138.68,Two year,DSL,Yes
146,Male,10,368.12,Two year,None,No
147,Male,64,1973.35,Two year,Fiber,No
148,Male,18,951.92,One year,None,Yes
149,Male,8,558.79,Month-to-month,None,No
150,Female,26,1433.41,Month-to-month,DSL,No
151,Male,33,783.29,Two year,Fiber,Yes
152,Male,43,1295.82,One year,DSL,No
153,Male,67,1297.51,Two year,DSL,Yes
154,Male,14,1057.74,Month-to-month,None,No
155,Male,50,1721.4,Month-to-month,None,Yes
156,Female,12,750.44,Two year,None,No
157,Male,48,1062.68,Two year,DSL,No
158,Female,69,1214.08,Month-to-month,DSL,No
159,Male,55,1428.16,Two year,DSL,Yes
160,Female,50,1632.75,Month-to-month,DSL,Yes
161,Male,36,971.17,Two year,DSL,No
162,Male,16,1398.28,One year,DSL,No
163,Female,57,556.04,Month-to-month,DSL,No
164,Female,28,1885.5,One year,DSL,No
165,Female,32,951.2,Two year,Fiber,Yes
166,Male,59,1540.19,One year,Fiber,No
167,Female,54,334.58,Two year,Fiber,Yes
168,Male,9,648.82,One year,Fiber,Yes
169,Male,46,1128.04,One year,DSL,No
170,Female,22,1793.03,One year,DSL,Yes
171,Female,20,1196.33,Month-to-month,None,No
172,Male,12,1880.78,One year,None,No
173,Male,32,1122.45,Two year,Fiber,Yes
174,Female,23,1133.76,Two year,None,No
175,Female,10,503.57,Month-to-month,Fiber,No
176,Female,16,1664.52,Month-to-month,DSL,Yes
177,Male,67,719.84,Two year,DSL,No
178,Male,46,1829.34,One year,None,No
179,Male,24,1848.4,Two year,DSL,Yes
180,Male,72,1903.63,Month-to-month,DSL,No
181,Male,20,1184.39,Month-to-month,Fiber,Yes
182,Male,11,1451.06,Two year,None,No
183,Female,36,1623.48,One year,DSL,No
184,Male,41,522.72,One year,None,Yes
185,Male,16,1321.63,Month-to-month,DSL,No
186,Male,47,358.31,Two year,Fiber,Yes
187,Female,27,1145.86,Two year,DSL,Yes
188,Male,40,563.23,Month-to-month,None,Yes
189,Male,46,610.97,Two year,None,No
190,Female,17,920.58,Month-to-month,Fiber,No
191,Male,70,1035.14,One year,DSL,Yes
192,Male,12,1359.39,One year,Fiber,No
193,Male,12,426.53,Two year,None,No
194,Male,30,1156.28,One year,Fiber,No
195,Male,1,610.46,One year,DSL,No
196,Female,15,1275.76,Month-to-month,DSL,No
197,Female,8,1383.59,Month-to-month,Fiber,Yes
198,Female,72,1246.41,Two year,None,No
199,Male,37,1555.1,Month-to-month,None,No
200,Male,53,870.54,Two year,Fiber,Yes
201,Male,55,1600.68,Two year,DSL,No
202,Female,44,1035.7,Month-to-month,DSL,Yes
203,Male,33,1123.11,One year,DSL,No
204,Male,8,1401.77,One year,DSL,Yes
205,Female,7,331.21,One year,None,No
206,Male,6,1411.79,One year,DSL,Yes
207,Female,35,1351.59,Two year,Fiber,No
208,Female,17,826.74,One year,Fiber,No
209,Female,2,445.85,Two year,Fiber,No
210,Male,27,454.59,Month-to-month,Fiber,Yes
211,Male,69,1869.48,Month-to-month,DSL,No
212,Male,43,1471.77,Two year,None,Yes
213,Male,20,516.07,One year,DSL,No
214,Male,27,906.43,Two year,None,No
215,Male,53,1307.22,One year,DSL,No
216,Male,53,1720.47,One year,None,Yes
217,Female,64,374.22,Two year,Fiber,Yes
218,Male,20,702.28,Two year,Fiber,Yes
219,Female,12,1812.57,One year,None,Yes
220,Male,56,315.58,Two year,None,No
221,Male,48,642.38,One year,None,Yes
222,Male,53,1930.34,Two year,Fiber,No
223,Female,9,1342.78,Month-to-month,Fiber,Yes
224,Female,52,744.84,One year,DSL,No
225,Female,43,413.88,Month-to-month,None,Yes
226,Female,46,347.93,Two year,None,No
227,Male,52,716.07,Month-to-month,None,No
228,Female,45,1798.53,Two year,Fiber,No
229,Male,12,1007.05,One year,None,No
230,Male,36,1524.57,Two year,None,No
231,Female,23,1861.08,Two year,Fiber,Yes
232,Female,1,993.67,One year,None,Yes
233,Female,13,625.17,Two year,DSL,No
234,Female,9,1179.1,One year,Fiber,No
235,Female,34,1843.74,Two year,Fiber,No
236,Female,24,1667.44,One year,Fiber,Yes
237,Female,2,411.91,Month-to-month,DSL,No
238,Female,16,1477.37,Two year,Fiber,No
239,Male,11,1272.23,Two year,Fiber,No
240,Female,53,1842.69,Two year,Fiber,No
241,Female,23,508.22,One year,Fiber,No
242,Male,28,1207.86,Two year,DSL,No
243,Female,42,1795.09,One year,None,No
244,Male,24,997.04,Two year,None,No
245,Male,59,1119.39,Month-to-month,Fiber,No
246,Female,64,419.78,Two year,DSL,No
247,Male,27,772.84,Month-to-month,Fiber,No
248,Male,15,851.66,One year,None,No
249,Male,46,1906.71,Month-to-month,None,No
250,Male,57,780.53,Two year,DSL,Yes
251,Female,26,1083.48,Two year,None,No
252,Male,52,1441.22,One year,Fiber,Yes
253,Female,41,575.71,Two year,DSL,No
254,Male,58,1126.95,Two year,None,No
255,Male,46,1555.52,One year,Fiber,No
256,Male,33,1773.65,One year,DSL,No
257,Male,36,1364.64,Month-to-month,Fiber,No
258,Female,5,1437.39,One year,None,Yes
259,Female,6,514.68,Two year,Fiber,Yes
260,Male,24,1907.82,One year,DSL,No
261,Male,32,525.38,Two year,Fiber,No
262,Female,54,1616.94,Month-to-month,None,No
263,Male,57,750.19,One year,DSL,No
264,Male,6,1887.11,Two year,DSL,Yes
265,Male,56,1523.93,One year,None,No
266,Female,11,1581.48,One year,Fiber,Yes
267,Female,15,672.4,One year,Fiber,No
268,Female,42,1053.17,One year,None,No
269,Male,6,1350.28,Month-to-month,DSL,No
270,Male,50,1608.96,Two year,None,No
271,Female,72,476.73,One year,DSL,No
272,Female,31,1936.02,Two year,DSL,No
273,Female,7,1813.38,Month-to-month,Fiber,No
274,Female,71,759.59,Two year,None,No
275,Male,44,1698.69,Two year,DSL,No
276,Female,58,1181.15,Month-to-month,Fiber,No
277,Male,3,1085.07,One year,None,Yes
278,Female,66,834.54,Two year,None,Yes
279,Male,28,1287.65,Two year,DSL,No
280,Female,28,1540.81,One year,DSL,No
281,Female,27,998.59,One year,DSL,No
282,Female,43,1369.67,Two year,None,Yes
283,Female,3,1488.83,Month-to-month,DSL,No
284,Male,8,1508.91,One year,None,No
285,Female,4,388.34,One year,Fiber,No
286,Male,55,1761.57,Month-to-month,None,Yes
287,Male,49,1079.03,Two year,DSL,No
288,Male,14,746.11,One year,None,No
289,Male,31,711.0,Two year,DSL,No
290,Female,27,1121.12,Two year,Fiber,No
291,Male,21,1807.61,Two year,DSL,Yes
292,Male,16,943.19,Month-to-month,DSL,No
293,Male,58,1574.53,Two year,DSL,Yes
294,Female,70,464.59,Two year,DSL,No
295,Female,56,1109.3,One year,DSL,No
296,Female,25,1985.87,One year,DSL,Yes
297,Female,24,1609.74,Month-to-month,Fiber,No
298,Male,9,657.9,Month-to-month,Fiber,No
299,Male,44,1152.45,One year,None,No
300,Female,10,697.16,One year,DSL,Yes
301,Male,52,996.25,Month-to-month,None,No
302,Male,71,1626.14,Two year,Fiber,Yes
303,Male,67,1611.08,Month-to-month,Fiber,No
304,Female,27,687.77,Two year,DSL,Yes
305,Female,64,1867.78,One year,DSL,No
306,Male,48,1307.37,One year,None,No
